Day;MaxT;MinT;AvT;HDDay;AvDP;1HrP;TPcp;WxType;PDir;AvSp;Dir;MxS;SkyC;MxR;MnR;AvSLP
1;88;59;74;;54;;0;F;280;10;270;17;2;93;23;1005
2;79;63;71;;47;;0;;330;9;340;23;3;70;28;1005
3;77;55;66;;40;;0;;350;5;350;9;3;59;24;1017
4;77;59;68;;51;;0;;110;9;130;12;9;62;40;1021
5;90;66;78;;68;;0;TFH;220;8;260;12;7;84;55;1014
6;81;61;71;;64;;0;RFH;30;6;30;13;10;93;60;1013
7;73;57;65;;53;;0;RF;50;10;50;17;5;90;48;1022
8;75;54;65;;50;;0;FH;160;4;150;10;3;93;41;1026
9;86;32*;59;6;62;;0;;240;8;220;12;6;78;46;1019
10;84;64;74;;58;;0;F;210;7;50;9;3;84;40;1019
11;91;59;75;;66;;0;H;250;7;230;12;3;93;45;1013
12;88;73;81;;69;;0;RTH;250;8;270;21;8;94;51;1007
13;70;59;65;;55;;0;H;150;3;150; 8 1;0;83;59;1013
14;61;59;60;5;56;;0;RF;60;7;80; 9 1;0;93;87;1009
15;64;55;60;5;55;;0;F;40;4;200;7;10;96;70;1006
16;79;59;69;;57;;0;F;250;8;240;21;8;87;44;1007
17;81;57;69;;52;;0;T;260;9;270;29*;5;90;34;1013
18;82;52;67;;53;;0;;230;4;190;12;5;93;34;1021
19;81;61;71;;59;;0;H;250;5;230;12;5;87;44;1029
20;84;57;71;;59;;0;FH;150;6;160;13;4;90;43;1033
21;86;59;73;;58;;0;F;240;6;250;12;1;87;35;1031
22;90;64;77;;61;;0;H;250;6;230;9;0;78;38;1026
23;90;68;79;;63;;0;H;240;8;230;12;0;68;42;1021
24;90;77;84;;68;;0;H;350;9;10;14;7;74;48;1018
25;90;72;81;;61;;0;;190;5;230;9;6;81;29;1020
26;97*;64;81;;70;;0;H;50;5;200;12;4.0 1;7;45;1015
27;91;72;82;;70;;0;RTH;250 1;2;230;17;7;90;47;1009
28;84;68;76;;66;;0;RTFH;280;8;340;16;7.0 1;0;51;1011
29;88;66;77;;60;;0;;40;5;20;9;5;84;33;1021
30;90;45;68;;64;;0;H;240;6;220;17;4.8 2;0;41;1023
  mo;83;61;72;16;59;;0;;;7;;;5;;;
